annee_numero_tirage,jour_tirage,date_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2,boules_croissant,etoiles_croissant,nb_gagnants_r1_fr,nb_gagnants_r1_eu,rapport_r1
2019062,V,02/08/2019,33,44,13,22,50,5,2,13-22-33-44-50,2-5,0,0,0
2019063,M,06/08/2019,38,12,29,36,13,4,12,12-13-29-36-38,4-12,0,0,0
2019064,V,09/08/2019,35,41,14,2,42,11,10,2-14-35-41-42,10-11,0,0,0
2019065,M,13/08/2019,31,13,33,29,40,2,3,13-29-31-33-40,2-3,0,0,0
2019066,V,16/08/2019,9,42,10,27,37,1,5,9-10-27-37-42,1-5,0,0,0
2019067,M,20/08/2019,23,24,22,20,37,1,4,20-22-23-24-37,1-4,0,0,0
2019068,V,23/08/2019,4,17,42,45,35,8,2,4-17-35-42-45,2-8,0,0,0
2019069,M,27/08/2019,26,8,35,47,43,9,1,8-26-35-43-47,1-9,0,0,0
2019070,V,30/08/2019,45,49,27,46,25,6,4,25-27-45-46-49,4-6,0,0,0
2019071,M,03/09/2019,44,11,38,7,39,10,7,7-11-38-39-44,7-10,0,0,0
2019072,V,06/09/2019,13,22,40,10,48,5,2,10-13-22-40-48,2-5,0,0,0
2019073,M,10/09/2019,3,30,49,25,22,3,6,3-22-25-30-49,3-6,0,0,0
2019074,V,13/09/2019,12,1,42,47,27,6,7,1-12-27-42-47,6-7,0,0,0
2019075,M,17/09/2019,22,45,43,44,37,1,12,22-37-43-44-45,1-12,0,0,0
2019076,V,20/09/2019,25,50,21,38,8,4,8,8-21-25-38-50,4-8,0,0,0
2019077,M,24/09/2019,2,48,33,47,42,1,2,2-33-42-47-48,1-2,0,0,0
2019078,V,27/09/2019,46,43,41,37,24,8,2,24-37-41-43-46,2-8,0,0,0
2019079,M,01/10/2019,40,18,11,2,46,4,1,2-11-18-40-46,1-4,0,0,0
2019080,V,04/10/2019,44,41,35,9,6,9,6,6-9-35-41-44,6-9,0,0,0
2019081,M,08/10/2019,44,15,49,10,7,3,12,7-10-15-44-49,3-12,0,1,190000000
2019082,V,11/10/2019,42,45,19,2,14,5,6,2-14-19-42-45,5-6,0,0,0
2019083,M,15/10/2019,3,34,31,32,28,4,5,3-28-31-32-34,4-5,0,0,0
2019084,V,18/10/2019,18,22,42,41,8,11,12,8-18-22-41-42,11-12,0,0,0
2019085,M,22/10/2019,2,5,33,47,32,7,8,2-5-32-33-47,7-8,0,0,0
2019086,V,25/10/2019,37,50,34,39,40,4,10,34-37-39-40-50,4-10,0,0,0
2019087,M,29/10/2019,49,42,28,16,18,10,5,16-18-28-42-49,5-10,0,0,0
2019088,V,01/11/2019,39,2,44,20,48,5,7,2-20-39-44-48,5-7,0,0,0
2019089,M,05/11/2019,25,14,33,9,48,12,2,9-14-25-33-48,2-12,0,0,0
2019090,V,08/11/2019,20,8,45,23,17,2,8,8-17-20-23-45,2-8,0,0,0
2019091,M,12/11/2019,1,25,21,39,23,2,4,1-21-23-25-39,2-4,0,0,0
2019092,V,15/11/2019,20,13,34,3,32,4,11,3-13-20-32-34,4-11,0,0,0
2019093,M,19/11/2019,10,15,42,30,8,4,6,8-10-15-30-42,4-6,0,1,122766852
2019094,V,22/11/2019,3,48,32,34,21,3,11,3-21-32-34-48,3-11,0,0,0
2019095,M,26/11/2019,34,3,15,2,19,5,8,2-3-15-19-34,5-8,0,0,0
2019096,V,29/11/2019,50,42,12,3,7,6,8,3-7-12-42-50,6-8,0,0,0
2019097,M,03/12/2019,32,31,38,18,48,12,4,18-31-32-38-48,4-12,0,1,48061132
2019098,V,06/12/2019,46,1,39,3,27,1,10,1-3-27-39-46,1-10,0,0,0
2019099,M,10/12/2019,19,47,21,2,10,8,2,2-10-19-21-47,2-8,0,0,0
2019100,V,13/12/2019,16,9,23,18,32,2,10,9-16-18-23-32,2-10,0,0,0
2019101,M,17/12/2019,7,1,12,25,49,9,6,1-7-12-25-49,6-9,0,1,48949099
2019102,V,20/12/2019,8,24,32,34,30,3,4,8-24-30-32-34,3-4,0,0,0
2019103,M,24/12/2019,47,14,11,13,3,3,6,3-11-13-14-47,3-6,0,0,0
2019104,V,27/12/2019,22,26,35,7,1,5,10,1-7-22-26-35,5-10,0,0,0
2019105,M,31/12/2019,41,31,48,33,26,4,2,26-31-33-41-48,2-4,0,0,0
2020001,V,03/01/2020,15,5,20,47,36,12,8,5-15-20-36-47,8-12,0,0,0
2020002,M,07/01/2020,8,37,12,5,43,11,6,5-8-12-37-43,6-11,0,0,0
2020003,V,10/01/2020,32,44,17,6,46,2,6,6-17-32-44-46,2-6,0,0,0
2020004,M,14/01/2020,25,39,21,44,29,9,8,21-25-29-39-44,8-9,0,0,0
2020005,V,17/01/2020,20,8,29,44,19,8,3,8-19-20-29-44,3-8,0,1,100779289
2020006,M,21/01/2020,36,10,24,11,46,3,5,10-11-24-36-46,3-5,0,0,0
2020007,V,24/01/2020,9,6,4,3,24,8,5,3-4-6-9-24,5-8,0,1,28601720
2020008,M,28/01/2020,31,27,1,19,38,5,4,1-19-27-31-38,4-5,0,0,0
2020009,V,31/01/2020,20,23,13,30,18,2,4,13-18-20-23-30,2-4,0,0,0
20200010,M,04/02/2020,35,21,33,23,47,6,7,21-23-33-35-47,6-7,0,0,0
20200011,V,07/02/2020,17,15,9,25,40,9,3,9-15-17-25-40,3-9,0,1,130000000
20200012,M,11/02/2020,43,26,24,32,46,6,10,24-26-32-43-46,6-10,0,1,17000000
20200013,V,14/02/2020,5,35,20,41,49,10,6,5-20-35-41-49,6-10,0,0,0
20200014,M,18/02/2020,34,32,11,38,47,10,2,11-32-34-38-47,2-10,0,0,0
20200015,V,21/02/2020,32,23,30,45,7,5,9,7-23-30-32-45,5-9,0,0,0
20200016,M,25/02/2020,4,42,18,27,1,6,4,1-4-18-27-42,4-6,0,0,0
20200017,V,28/02/2020,8,11,23,20,22,4,3,8-11-20-22-23,3-4,0,1,67084644
20200018,M,03/03/2020,27,44,4,14,45,10,1,4-14-27-44-45,1-10,0,0,0
20200019,V,06/03/2020,15,43,38,45,46,11,1,15-38-43-45-46,1-11,0,0,0
20200020,M,10/03/2020,23,43,30,11,37,5,12,11-23-30-37-43,5-12,0,0,0
20200021,V,13/03/2020,21,3,11,36,27,10,9,3-11-21-27-36,9-10,0,0,0
20200022,M,17/03/2020,5,7,16,8,20,12,2,5-7-8-16-20,2-12,0,1,63600033
20200023,V,20/03/2020,40,9,20,34,3,6,12,3-9-20-34-40,6-12,1,1,17000000
20200024,M,24/03/2020,33,12,7,26,30,11,10,7-12-26-30-33,10-11,0,0,0
20200025,V,27/03/2020,14,41,27,46,11,3,2,11-14-27-41-46,2-3,0,0,0
20200026,M,31/03/2020,30,12,17,24,36,9,1,12-17-24-30-36,1-9,0,0,0
20200027,V,03/04/2020,50,16,34,19,46,2,6,16-19-34-46-50,2-6,0,0,0
20200028,M,07/04/2020,33,14,4,48,5,7,12,4-5-14-33-48,7-12,0,0,0
20200029,V,10/04/2020,33,17,3,39,10,1,4,3-10-17-33-39,1-4,0,0,0
20200030,M,14/04/2020,40,34,29,6,35,11,4,6-29-34-35-40,4-11,0,0,0
20200031,V,17/04/2020,37,32,45,28,16,1,11,16-28-32-37-45,1-11,0,1,67188313
20200032,M,21/04/2020,11,10,23,14,28,6,8,10-11-14-23-28,6-8,0,0,0
20200033,V,24/04/2020,28,5,1,21,19,7,4,1-5-19-21-28,4-7,0,0,0
20200034,M,28/04/2020,32,28,26,15,23,1,5,15-23-26-28-32,1-5,0,0,0
20200035,V,01/05/2020,47,20,19,45,38,2,6,19-20-38-45-47,2-6,0,0,0
20200036,M,05/05/2020,2,27,22,10,41,3,2,2-10-22-27-41,2-3,0,0,0
20200037,V,08/05/2020,33,38,8,25,32,9,7,8-25-32-33-38,7-9,0,0,0
20200038,M,12/05/2020,16,9,29,39,37,4,11,9-16-29-37-39,4-11,0,0,0
20200039,V,15/05/2020,34,23,32,39,11,1,6,11-23-32-34-39,1-6,1,1,72969058
20200040,M,19/05/2020,43,32,37,25,5,6,7,5-25-32-37-43,6-7,0,0,0
20200041,V,22/05/2020,18,22,32,3,27,2,7,3-18-22-27-32,2-7,0,0,0
20200042,M,26/05/2020,9,4,27,14,21,4,6,4-9-14-21-27,4-6,1,2,18571740
20200043,V,29/05/2020,4,11,8,46,19,4,8,4-8-11-19-46,4-8,0,1,17000000
20200044,M,02/06/2020,49,22,12,26,10,11,7,10-12-22-26-49,7-11,0,0,0
20200045,V,05/06/2020,24,11,37,17,5,6,3,5-11-17-24-37,3-6,0,0,0
20200046,M,09/06/2020,46,36,27,5,15,8,2,5-15-27-36-46,2-8,0,0,0
20200047,V,12/06/2020,24,39,46,2,45,4,8,2-24-39-45-46,4-8,0,1,51583717
20200048,M,16/06/2020,39,9,11,4,17,2,10,4-9-11-17-39,2-10,0,0,0
20200049,V,19/06/2020,14,5,24,43,19,3,11,5-14-19-24-43,3-11,0,0,0
20200050,M,23/06/2020,19,46,49,12,2,8,1,2-12-19-46-49,1-8,0,0,0
20200051,V,26/06/2020,12,26,21,1,10,5,11,1-10-12-21-26,5-11,0,0,0
20200052,M,30/06/2020,11,42,1,28,6,2,10,1-6-11-28-42,2-10,0,0,0
20200053,V,03/07/2020,27,4,16,39,37,3,6,4-16-27-37-39,3-6,0,0,0
20200054,M,07/07/2020,41,33,23,12,16,8,10,12-16-23-33-41,8-10,0,1,144542315
20200055,V,10/07/2020,30,38,15,17,23,2,7,15-17-23-30-38,2-7,0,0,0
20200056,M,14/07/2020,30,22,37,11,47,9,10,11-22-30-37-47,9-10,0,0,0
20200057,V,17/07/2020,7,27,41,15,43,7,9,7-15-27-41-43,7-9,0,0,0
20200058,M,21/07/2020,29,15,42,14,24,2,4,14-15-24-29-42,2-4,0,1,49564587
20200059,V,24/07/2020,8,28,50,27,9,12,4,8-9-27-28-50,4-12,0,0,0
20200060,M,28/07/2020,34,17,13,9,15,7,2,9-13-15-17-34,2-7,0,0,0
20200061,V,31/07/2020,30,46,24,21,49,2,5,21-24-30-46-49,2-5,0,0,0
20200062,M,04/08/2020,42,2,5,1,15,8,5,1-2-5-15-42,5-8,0,0,0
20200063,V,07/08/2020,36,20,5,41,21,11,6,5-20-21-36-41,6-11,0,0,0
20200064,M,11/08/2020,14,13,50,8,42,3,9,8-13-14-42-50,3-9,0,0,0
20200065,V,14/08/2020,49,10,42,9,19,4,12,9-10-19-42-49,4-12,0,0,0
20200066,M,18/08/2020,12,34,42,17,6,12,5,6-12-17-34-42,5-12,0,0,0
20200067,V,21/08/2020,10,35,50,15,44,5,3,10-15-35-44-50,3-5,0,0,0
20200068,M,25/08/2020,18,37,39,30,7,10,8,7-18-30-37-39,8-10,0,0,0
20200069,V,28/08/2020,31,16,17,7,12,9,7,7-12-16-17-31,7-9,0,0,0
20200070,M,01/09/2020,46,8,4,33,10,8,11,4-8-10-33-46,8-11,1,1,157170843
20200071,V,04/09/2020,6,29,43,40,22,7,4,6-22-29-40-43,4-7,0,0,0
20200072,M,08/09/2020,9,35,2,41,31,12,9,2-9-31-35-41,9-12,0,0,0
20200073,V,11/09/2020,34,38,45,43,42,12,9,34-38-42-43-45,9-12,0,0,0
20200074,M,15/09/2020,38,25,30,16,20,8,6,16-20-25-30-38,6-8,0,0,0
20200075,V,18/09/2020,25,45,19,2,10,1,7,2-10-19-25-45,1-7,0,0,0
20200076,M,22/09/2020,28,39,25,40,16,1,6,16-25-28-39-40,1-6,0,0,0
20200077,V,25/09/2020,34,45,19,23,37,1,7,19-23-34-37-45,1-7,0,1,130000000
20200078,M,29/09/2020,16,14,4,44,41,11,12,4-14-16-41-44,11-12,0,0,0
20200079,V,02/10/2020,15,45,12,6,40,9,3,6-12-15-40-45,3-9,1,1,30627859
20200080,M,06/10/2020,41,36,4,21,47,11,9,4-21-36-41-47,9-11,0,0,0
20200081,V,09/10/2020,15,11,35,50,41,8,5,11-15-35-41-50,5-8,0,0,0
20200082,M,13/10/2020,5,41,46,38,14,10,1,5-14-38-41-46,1-10,0,0,0
20200083,V,16/10/2020,15,40,38,33,50,6,3,15-33-38-40-50,3-6,0,0,0
20200084,M,20/10/2020,15,5,42,37,6,4,3,5-6-15-37-42,3-4,0,0,0
20200085,V,23/10/2020,19,23,10,21,15,3,12,10-15-19-21-23,3-12,0,0,0
20200086,M,27/10/2020,13,15,28,44,32,12,3,13-15-28-32-44,3-12,0,1,87757466
20200087,V,30/10/2020,21,16,20,12,28,9,3,12-16-20-21-28,3-9,0,0,0
20200088,M,03/11/2020,5,7,18,20,30,7,6,5-7-18-20-30,6-7,0,0,0
20200089,V,06/11/2020,12,37,7,50,40,1,2,7-12-37-40-50,1-2,0,0,0
20200090,M,10/11/2020,19,3,38,32,29,12,5,3-19-29-32-38,5-12,0,0,0
20200091,V,13/11/2020,31,17,1,28,5,1,10,1-5-17-28-31,1-10,0,0,0
20200092,M,17/11/2020,30,25,44,19,16,6,2,16-19-25-30-44,2-6,0,0,0
20200093,V,20/11/2020,28,50,48,39,29,5,7,28-29-39-48-50,5-7,0,0,0
20200094,M,24/11/2020,50,33,38,42,25,12,8,25-33-38-42-50,8-12,0,0,0
20200095,V,27/11/2020,8,14,16,5,2,9,8,2-5-8-14-16,8-9,0,0,0
20200096,M,01/12/2020,29,49,20,14,47,12,4,14-20-29-47-49,4-12,0,0,0
20200097,V,04/12/2020,14,38,20,27,34,1,11,14-20-27-34-38,1-11,0,0,0
20200098,M,08/12/2020,1,46,21,4,24,2,12,1-4-21-24-46,2-12,0,0,0
20200099,V,11/12/2020,41,13,24,9,6,3,12,6-9-13-24-41,3-12,1,1,200000000
20200100,M,15/12/2020,21,9,35,13,29,2,1,9-13-21-29-35,1-2,0,0,0
20200101,V,18/12/2020,2,21,17,3,13,7,8,2-3-13-17-21,7-8,0,0,0
20200102,M,22/12/2020,42,10,50,2,16,11,4,2-10-16-42-50,4-11,0,1,43704037
20200103,V,25/12/2020,16,21,27,30,32,3,5,16-21-27-30-32,3-5,0,0,0
20200104,M,29/12/2020,7,40,39,45,32,8,3,7-32-39-40-45,3-8,0,0,0
20211001,V,01/01/2021,32,16,48,44,28,1,9,16-28-32-44-48,1-9,0,1,44958140
20211002,M,05/01/2021,37,42,12,34,38,3,1,12-34-37-38-42,1-3,0,0,0
20211003,V,08/01/2021,42,23,37,41,18,4,6,18-23-37-41-42,4-6,0,0,0
20211004,M,12/01/2021,10,34,2,35,18,6,9,2-10-18-34-35,6-9,0,0,0
20211005,V,15/01/2021,27,10,4,40,38,11,3,4-10-27-38-40,3-11,0,0,0
20211006,M,19/01/2021,25,35,31,27,43,5,6,25-27-31-35-43,5-6,0,0,0
20211007,V,22/01/2021,16,47,42,8,44,7,6,8-16-42-44-47,6-7,0,1,80566353
20211008,M,26/01/2021,7,37,25,40,5,2,8,5-7-25-37-40,2-8,0,0,0
20211009,V,29/01/2021,27,36,5,42,1,6,1,1-5-27-36-42,1-6,0,0,0
20211010,M,02/02/2021,38,18,48,20,35,9,12,18-20-35-38-48,9-12,0,0,0
20211011,V,05/02/2021,45,12,37,19,44,6,2,12-19-37-44-45,2-6,0,0,0
20211012,M,09/02/2021,24,5,31,10,37,9,10,5-10-24-31-37,9-10,0,0,0
20211013,V,12/02/2021,32,7,36,30,23,12,8,7-23-30-32-36,8-12,0,0,0
20211014,M,16/02/2021,30,25,29,9,5,6,7,5-9-25-29-30,6-7,0,0,0
20211015,V,19/02/2021,25,48,4,46,12,12,7,4-12-25-46-48,7-12,0,0,0
20211016,M,23/02/2021,30,9,39,18,45,3,1,9-18-30-39-45,1-3,0,0,0
20211017,V,26/02/2021,6,12,22,29,33,11,6,6-12-22-29-33,6-11,0,1,210000000
20211018,M,02/03/2021,24,49,19,26,2,6,7,2-19-24-26-49,6-7,0,0,0
20211019,V,05/03/2021,4,46,5,39,48,7,10,4-5-39-46-48,7-10,0,0,0
20211020,M,09/03/2021,16,21,33,32,1,11,12,1-16-21-32-33,11-12,0,0,0
20211021,V,12/03/2021,11,4,6,44,9,10,11,4-6-9-11-44,10-11,0,0,0
20211022,M,16/03/2021,32,25,23,47,35,2,6,23-25-32-35-47,2-6,0,0,0
20211023,V,19/03/2021,35,44,43,9,3,10,1,3-9-35-43-44,1-10,0,0,0
20211024,M,23/03/2021,2,26,29,36,49,3,9,2-26-29-36-49,3-9,0,0,0
20211025,V,26/03/2021,49,12,50,10,37,8,3,10-12-37-49-50,3-8,0,0,0
20211026,M,30/03/2021,42,24,29,28,27,8,4,24-27-28-29-42,4-8,0,0,0
20211027,V,02/04/2021,21,47,4,40,34,2,5,4-21-34-40-47,2-5,0,1,144755907
20211028,M,06/04/2021,50,21,37,38,2,8,7,2-21-37-38-50,7-8,0,0,0
20211029,V,09/04/2021,44,8,35,32,2,8,11,2-8-32-35-44,8-11,0,0,0
20211030,M,13/04/2021,47,16,31,50,20,8,2,16-20-31-47-50,2-8,0,0,0
20211031,V,16/04/2021,29,11,40,48,6,9,5,6-11-29-40-48,5-9,0,0,0
20211032,M,20/04/2021,28,46,17,5,41,11,10,5-17-28-41-46,10-11,0,1,68414615
20211033,V,23/04/2021,29,19,15,3,14,2,8,3-14-15-19-29,2-8,0,0,0
20211034,M,27/04/2021,13,49,14,24,35,1,10,13-14-24-35-49,1-10,0,0,0
20211035,V,30/04/2021,1,28,24,46,16,11,2,1-16-24-28-46,2-11,0,0,0
20211036,M,04/05/2021,46,13,10,28,3,11,4,3-10-13-28-46,4-11,0,0,0
20211037,V,07/05/2021,33,38,47,22,14,9,8,14-22-33-38-47,8-9,0,1,69463976
20211038,M,11/05/2021,14,46,43,34,25,6,5,14-25-34-43-46,5-6,0,0,0
20211039,V,14/05/2021,6,38,29,16,18,6,11,6-16-18-29-38,6-11,0,0,0
20211040,M,18/05/2021,13,39,40,38,5,4,12,5-13-38-39-40,4-12,0,0,0
20211041,V,21/05/2021,9,13,35,2,15,10,3,2-9-13-15-35,3-10,0,0,0
20211042,M,25/05/2021,38,21,26,1,30,8,2,1-21-26-30-38,2-8,0,0,0
20211043,V,28/05/2021,16,40,13,11,34,1,12,11-13-16-34-40,1-12,0,0,0
20211044,M,01/06/2021,35,10,44,3,26,7,6,3-10-26-35-44,6-7,0,0,0
20211045,V,04/06/2021,40,20,36,46,7,2,4,7-20-36-40-46,2-4,0,1,130000000
20211046,M,08/06/2021,47,26,2,36,11,9,7,2-11-26-36-47,7-9,0,0,0
20211047,V,11/06/2021,17,33,9,21,39,7,11,9-17-21-33-39,7-11,1,1,30382655
20211048,M,15/06/2021,30,31,11,26,21,2,3,11-21-26-30-31,2-3,0,0,0
20211049,V,18/06/2021,27,20,41,11,30,3,5,11-20-27-30-41,3-5,0,0,0
20211050,M,22/06/2021,27,24,26,6,41,8,3,6-24-26-27-41,3-8,0,0,0
20211051,V,25/06/2021,33,29,36,1,30,12,3,1-29-30-33-36,3-12,0,0,0
20211052,M,29/06/2021,6,12,24,20,48,6,5,6-12-20-24-48,5-6,0,0,0
20211053,V,02/07/2021,49,29,38,9,14,7,10,9-14-29-38-49,7-10,0,1,77959528
20211054,M,06/07/2021,2,42,5,27,21,9,11,2-5-21-27-42,9-11,0,1,17000000
20211055,V,09/07/2021,37,19,6,36,49,11,4,6-19-36-37-49,4-11,0,0,0
20211056,M,13/07/2021,22,11,6,8,5,3,4,5-6-8-11-22,3-4,0,1,26482986
20211057,V,16/07/2021,47,5,16,42,49,3,11,5-16-42-47-49,3-11,0,0,0
20211058,M,20/07/2021,19,48,3,41,12,6,9,3-12-19-41-48,6-9,0,0,0
20211059,V,23/07/2021,34,50,26,23,24,4,2,23-24-26-34-50,2-4,0,0,0
20211060,M,27/07/2021,19,21,25,5,9,12,10,5-9-19-21-25,10-12,0,0,0
20211061,V,30/07/2021,23,10,35,33,37,5,10,10-23-33-35-37,5-10,0,0,0
20211062,M,03/08/2021,46,23,45,21,17,7,11,17-21-23-45-46,7-11,0,0,0
20211063,V,06/08/2021,32,21,7,26,14,12,4,7-14-21-26-32,4-12,0,0,0
20211064,M,10/08/2021,47,9,48,49,37,2,7,9-37-47-48-49,2-7,0,0,0
20211065,V,13/08/2021,49,44,47,12,6,8,12,6-12-44-47-49,8-12,0,1,113156128
20211066,M,17/08/2021,47,12,41,42,31,6,4,12-31-41-42-47,4-6,0,0,0
20211067,V,20/08/2021,3,19,9,20,23,11,9,3-9-19-20-23,9-11,0,0,0
20211068,M,24/08/2021,21,36,44,19,50,3,10,19-21-36-44-50,3-10,0,0,0
20211069,V,27/08/2021,31,46,3,50,2,12,8,2-3-31-46-50,8-12,0,0,0
20211070,M,31/08/2021,17,5,32,13,43,2,10,5-13-17-32-43,2-10,1,3,21214762
20211071,V,03/09/2021,5,13,29,35,7,3,7,5-7-13-29-35,3-7,0,0,0
20211072,M,07/09/2021,42,7,19,35,43,7,9,7-19-35-42-43,7-9,0,1,26572332
20211073,V,10/09/2021,6,7,28,18,1,2,8,1-6-7-18-28,2-8,0,0,0
20211074,M,14/09/2021,12,38,45,18,35,2,8,12-18-35-38-45,2-8,0,0,0
20211075,V,17/09/2021,10,7,5,8,34,9,1,5-7-8-10-34,1-9,0,0,0
20211076,M,21/09/2021,20,25,26,30,38,8,2,20-25-26-30-38,2-8,0,0,0
20211077,V,24/09/2021,27,12,20,2,41,10,12,2-12-20-27-41,10-12,0,0,0
20211078,M,28/09/2021,12,7,6,33,39,7,1,6-7-12-33-39,1-7,0,0,0
20211079,V,01/10/2021,1,19,15,48,26,6,12,1-15-19-26-48,6-12,0,0,0
20211080,M,05/10/2021,45,14,36,13,11,7,9,11-13-14-36-45,7-9,0,0,0
20211081,V,08/10/2021,10,42,23,46,1,3,5,1-10-23-42-46,3-5,0,0,0
20211082,M,12/10/2021,13,45,22,6,49,10,11,6-13-22-45-49,10-11,0,0,0
20211083,V,15/10/2021,49,21,26,34,31,5,2,21-26-31-34-49,2-5,1,1,220000000
20211084,M,19/10/2021,40,4,36,41,20,1,6,4-20-36-40-41,1-6,0,0,0
20211085,V,22/10/2021,33,12,17,39,22,2,12,12-17-22-33-39,2-12,0,0,0
20211086,M,26/10/2021,12,44,42,15,20,2,1,12-15-20-42-44,1-2,0,0,0
20211087,V,29/10/2021,28,10,32,15,49,9,3,10-15-28-32-49,3-9,0,0,0
20211088,M,02/11/2021,29,43,2,3,17,4,1,2-3-17-29-43,1-4,0,0,0
20211089,V,05/11/2021,41,25,2,12,30,11,8,2-12-25-30-41,8-11,0,0,0
20211090,M,09/11/2021,33,25,36,26,17,8,1,17-25-26-33-36,1-8,0,0,0
20211091,V,12/11/2021,50,15,9,47,2,9,6,2-9-15-47-50,6-9,0,0,0
20211092,M,16/11/2021,9,32,36,19,21,4,3,9-19-21-32-36,3-4,0,0,0
20211093,V,19/11/2021,50,26,47,22,38,6,2,22-26-38-47-50,2-6,0,0,0
20211094,M,23/11/2021,21,17,42,36,46,10,7,17-21-36-42-46,7-10,0,0,0
20211095,V,26/11/2021,50,20,41,42,1,3,7,1-20-41-42-50,3-7,1,1,162289050
20211096,M,30/11/2021,43,19,33,26,20,4,1,19-20-26-33-43,1-4,0,0,0
20211097,V,03/12/2021,46,21,32,22,29,9,10,21-22-29-32-46,9-10,0,0,0
20211098,M,07/12/2021,22,31,46,47,38,7,11,22-31-38-46-47,7-11,0,1,143469842
20211099,V,10/12/2021,11,21,42,38,33,8,2,11-21-33-38-42,2-8,0,0,0
20211100,M,14/12/2021,37,19,47,21,48,3,6,19-21-37-47-48,3-6,0,0,0
20211101,V,17/12/2021,30,1,35,2,15,2,7,1-2-15-30-35,2-7,0,0,0
20211102,M,21/12/2021,34,38,17,12,21,2,3,12-17-21-34-38,2-3,0,0,0
20211103,V,24/12/2021,41,2,34,26,28,10,5,2-26-28-34-41,5-10,0,0,0
20211104,M,28/12/2021,4,29,15,17,6,9,12,4-6-15-17-29,9-12,1,1,79411191
20211105,V,31/12/2021,25,7,43,22,49,7,6,7-22-25-43-49,6-7,1,1,17571602
20222001,M,04/01/2022,28,41,18,35,36,6,11,18-28-35-36-41,6-11,0,0,0
20222002,V,07/01/2022,14,2,50,37,44,7,11,2-14-37-44-50,7-11,0,0,0
20222003,M,11/01/2022,33,23,44,32,4,12,9,4-23-32-33-44,9-12,0,0,0
20222004,V,14/01/2022,25,6,46,17,31,12,9,6-17-25-31-46,9-12,0,0,0
20222005,M,18/01/2022,12,30,24,3,19,5,2,3-12-19-24-30,2-5,1,1,67441797
20222006,V,21/01/2022,5,35,39,14,36,12,7,5-14-35-36-39,7-12,0,0,0
20222007,M,25/01/2022,16,6,47,18,39,2,4,6-16-18-39-47,2-4,0,0,0
20222008,V,28/01/2022,34,10,25,29,45,10,9,10-25-29-34-45,9-10,0,0,0
20222009,M,01/02/2022,49,36,1,19,38,9,6,1-19-36-38-49,6-9,0,0,0
20222010,V,04/02/2022,49,38,3,25,43,7,3,3-25-38-43-49,3-7,0,1,130000000
20222011,M,08/02/2022,43,34,20,6,37,7,10,6-20-34-37-43,7-10,0,0,0
20222012,V,11/02/2022,45,13,42,18,38,7,11,13-18-38-42-45,7-11,0,1,30928078
20222013,M,15/02/2022,33,20,31,9,44,12,2,9-20-31-33-44,2-12,0,0,0
20222014,V,18/02/2022,25,41,50,43,38,6,10,25-38-41-43-50,6-10,0,0,0
20222015,M,22/02/2022,26,32,14,5,9,7,3,5-9-14-26-32,3-7,0,0,0
20222016,V,25/02/2022,24,10,30,42,13,1,5,10-13-24-30-42,1-5,0,0,0
20222017,M,01/03/2022,26,24,42,39,8,5,3,8-24-26-39-42,3-5,0,0,0
20222018,V,04/03/2022,40,20,43,6,42,10,12,6-20-40-42-43,10-12,0,1,78587957
20222019,M,08/03/2022,18,12,31,25,21,9,2,12-18-21-25-31,2-9,0,0,0
20222020,V,11/03/2022,23,22,12,19,48,6,2,12-19-22-23-48,2-6,0,0,0
20222021,M,15/03/2022,2,26,19,12,1,8,2,1-2-12-19-26,2-8,0,0,0
20222022,V,18/03/2022,43,1,9,14,17,12,6,1-9-14-17-43,6-12,1,2,26825597
20222023,M,22/03/2022,7,29,17,40,21,8,11,7-17-21-29-40,8-11,0,0,0
20222024,V,25/03/2022,10,29,24,6,27,12,5,6-10-24-27-29,5-12,0,0,0
20222025,M,29/03/2022,43,33,11,8,42,11,6,8-11-33-42-43,6-11,0,0,0
20222026,V,01/04/2022,21,45,31,2,7,10,4,2-7-21-31-45,4-10,0,0,0
20222027,M,05/04/2022,13,1,24,11,49,5,6,1-11-13-24-49,5-6,0,0,0
20222028,V,08/04/2022,16,38,1,45,15,4,11,1-15-16-38-45,4-11,0,0,0
20222029,M,12/04/2022,30,47,35,31,21,10,2,21-30-31-35-47,2-10,0,0,0
20222030,V,15/04/2022,32,48,6,24,30,6,5,6-24-30-32-48,5-6,0,0,0
20222031,M,19/04/2022,28,46,2,17,12,10,6,2-12-17-28-46,6-10,0,0,0
20222032,V,22/04/2022,11,6,35,36,21,9,1,6-11-21-35-36,1-9,0,0,0
20222033,M,26/04/2022,25,4,28,34,45,11,8,4-25-28-34-45,8-11,0,0,0
20222034,V,29/04/2022,37,36,10,20,11,7,3,10-11-20-36-37,3-7,0,0,0
20222035,M,03/05/2022,26,48,47,8,20,8,3,8-20-26-47-48,3-8,0,0,0
20222036,V,06/05/2022,3,24,8,18,40,11,3,3-8-18-24-40,3-11,0,0,0
20222037,M,10/05/2022,28,3,29,25,27,4,9,3-25-27-28-29,4-9,0,1,215840341
20222038,V,13/05/2022,11,45,17,48,3,8,4,3-11-17-45-48,4-8,0,0,0
20222039,M,17/05/2022,49,28,30,5,48,5,11,5-28-30-48-49,5-11,0,0,0
20222040,V,20/05/2022,32,23,8,22,50,3,9,8-22-23-32-50,3-9,0,0,0
